datetime,device,accx,accy,accz,gyrox,gyroy,gyroz,anglex,angley,anglez,magx,magy,magz
2024-06-18 20:43:40.337934,motor,-0.9961,-0.0083,0.0029,0.0,0.0,0.0,-69.851,89.522,-148.211,-1913,-20059,-18680
2024-06-18 20:43:41.191262,motor,-0.9956,-0.0073,0.0039,0.0,0.0,0.0,-69.851,89.522,-148.211,-23816,14769,183
2024-06-18 20:43:42.732565,motor,-0.9956,-0.0073,0.0039,0.0,0.0,898.4985,-65.231,89.517,-148.217,-1910,-20046,-18623
2024-06-18 20:43:42.932118,motor,-0.9956,-0.0073,0.0039,0.0,0.0,898.4985,-65.231,89.517,-148.217,-1909,-20042,-18635
2024-06-18 20:43:45.925678,motor,-0.9956,-0.0073,0.0039,0.0,0.0,0.0,-65.88,89.511,-148.211,-1898,-20042,-18641
2024-06-18 20:43:46.424617,motor,-0.9956,-0.0073,0.0039,0.0,0.0,0.0,-65.88,89.511,-148.211,-1885,-20055,-18611
2024-06-18 20:43:47.721844,motor,-0.9956,-0.0073,0.0039,0.0,0.0,0.0,-66.956,89.517,-148.206,-1899,-20044,-18625
2024-06-18 20:43:49.817349,motor,-0.9966,-0.0078,15.8774,0.0,0.0,0.0,-66.956,89.517,-148.206,-1910,-20039,-18633
2024-06-18 20:43:52.511696,motor,-0.9966,-0.0078,15.8774,0.0,0.0,0.0,-66.956,89.517,-148.206,-1908,-20053,-18612
2024-06-18 20:43:52.910994,motor,-0.9966,-0.0078,15.8774,0.0,0.0,0.0,-65.259,89.5,-148.211,-1888,-20022,-18613
2024-06-18 20:43:53.210224,motor,-0.9961,-0.0068,0.0029,0.0,0.0,0.0,-65.259,89.5,-148.211,-1907,-20032,-18606
2024-06-18 20:43:54.607291,motor,-0.9961,-0.0078,0.0024,0.0,0.0,0.0,-69.626,89.533,-148.211,-1909,-20035,-18621
2024-06-18 20:43:57.401170,motor,-0.9966,-0.0073,0.0034,0.0,0.0,0.0,-64.995,89.511,-148.217,-1905,-20018,-18630
2024-06-18 20:43:57.600723,motor,-0.9966,-0.0073,0.0034,0.0,0.0,0.0,-64.995,89.511,-148.217,-1880,-20014,-18631
2024-06-18 20:43:57.800302,motor,-0.9966,-0.0073,0.0034,0.0,0.0,0.0,-64.995,89.511,-148.217,-1905,-20003,-18618
2024-06-18 20:43:59.596469,motor,-0.9966,-0.0073,0.0034,0.0,0.0,0.0,-67.253,89.533,-148.211,-1903,-20024,-18604
